"source","ID","isotope","crop","timepoint","type","run_date","int_2839_2870","int_2898_2976","int_1580_1660","int_1500_1550","sample"
"pot","001","13C","wheat","wk0","root",2025-07-25,-13.9471981280003,-40.2621333840289,-48.192528319345,-23.3280818908006,1
"pot","030","13C","soy","wk10","root",2025-07-25,-17.5645616723523,-49.5348425951306,-52.1717344607096,-24.3385310772956,2
"pot","032","13C","wheat","wk0","root",2025-07-25,-16.4180531779493,-47.6560090053827,-46.7964612545475,-22.7251814115953,3
"pot","047","13C","rice","wk0","root",2025-07-25,-12.5088000388005,-34.9281888739861,-40.089074753796,-18.415874817696,4
"pot","053","13C","wheat","wk10","root",2025-07-25,-14.5556857138508,-46.4459262525561,-50.1490166614531,-24.6668884565515,5
"pot","055","13C","rice","wk10","root",2025-07-25,-12.1736982481034,-37.1693593729578,-45.2886572908064,-21.9466157756051,6
"pot","055","13C","rice","wk10","root",2025-07-25,-15.1637681785469,-43.6954742007438,-43.649403520405,-20.4794390253028,7
"pot","062","13C","soy","wk0","root",2025-07-25,-11.0160796367491,-33.2486227821282,-46.1491656744947,-20.1360175085028,8
"pot","079","13C","rice","wk0","root",2025-07-25,-7.63598138569796,-26.5932763339624,-44.5120979833919,-20.1369496784991,9
"pot","080","13C","soy","wk10","root",2025-07-25,-12.034243921451,-36.8895699506611,-42.574267829048,-20.3218602086508,10
"pot","094","13C","soy","wk10","root",2025-07-25,-18.4694329795893,-53.4623622982181,-62.7021562758455,-30.0478265363054,11
"pot","094","13C","soy","wk10","soil",2025-06-30,-0.321400702349933,-3.58043984950018,-37.0870133487078,-12.7229294213012,12
"pot","103","13C","rice","wk0","root",2025-07-25,-12.8032549919517,-38.593407179309,-46.6626778075952,-21.4837546066956,13
"pot","103","13C","rice","wk0","root",2025-07-25,-20.1223875101568,-53.181318977644,-40.0635113674034,-19.1101311132406,14
"pot","103","13C","rice","wk0","root",2025-07-25,-15.0232659177527,-44.9170207392744,-44.5459102772948,-21.0036562185996,15
"pot","103","13C","rice","wk0","root",2025-07-25,-16.6661326553985,-47.0760616444095,-44.7877532614584,-21.3102500230962,16
"pot","107","12C","rice","wk0","root",2025-07-25,-18.2946490233953,-54.6606985112885,-47.7568831012941,-24.5202780517011,17
