"source","ID","isotope","crop","timepoint","type","run_date","int_2839_2870","int_2898_2976","int_1580_1660","int_1500_1550","sample","aliphatic","total_peak_area","simple_plant_prop","complex_plant_prop","microbial_plant_prop","simple_microbial_prop","complex_microbial_prop"
"pot","001","13C","wheat","wk0","root",2025-07-25,-13.9471981280003,-40.2621333840289,-48.192528319345,-23.3280818908006,1,-54.2093315120292,-125.729941722175,0.431156896833814,0.185541181132086,0.3833019220341,1.12484929516074,0.484060137625866
"pot","030","13C","soy","wk10","root",2025-07-25,-17.5645616723523,-49.5348425951306,-52.1717344607096,-24.3385310772956,2,-67.0994042674829,-143.609669805488,0.46723458356506,0.169476965654617,0.363288450780324,1.28612561880639,0.466507991901723
"pot","032","13C","wheat","wk0","root",2025-07-25,-16.4180531779493,-47.6560090053827,-46.7964612545475,-22.7251814115953,3,-64.074062183332,-133.595704849475,0.47961169302206,0.170104131994365,0.350284174983575,1.36920742435638,0.485617518982526
"pot","047","13C","rice","wk0","root",2025-07-25,-12.5088000388005,-34.9281888739861,-40.089074753796,-18.415874817696,4,-47.4369889127865,-105.941938484279,0.447764026139903,0.173829883435906,0.378406090424191,1.18328969187035,0.459373905005184
"pot","053","13C","wheat","wk10","root",2025-07-25,-14.5556857138508,-46.4459262525561,-50.1490166614531,-24.6668884565515,5,-61.0016119664069,-135.817517084412,0.449143919546799,0.181617872171974,0.369238208281227,1.21640694130092,0.491871827180047
"pot","055","13C","rice","wk10","root",2025-07-25,-12.1736982481034,-37.1693593729578,-45.2886572908064,-21.9466157756051,6,-49.3430576210612,-116.578330687473,0.423260972515911,0.188256390756189,0.3884826367279,1.08952352692244,0.484594092394526
"pot","055","13C","rice","wk10","root",2025-07-25,-15.1637681785469,-43.6954742007438,-43.649403520405,-20.4794390253028,7,-58.8592423792907,-122.988084924998,0.478576785834048,0.166515634728289,0.354907579437664,1.34845467823576,0.469180272205304
"pot","062","13C","soy","wk0","root",2025-07-25,-11.0160796367491,-33.2486227821282,-46.1491656744947,-20.1360175085028,8,-44.2647024188773,-110.549885601875,0.400404778149554,0.18214417318367,0.417451048666776,0.959165821785183,0.436324627199738
"pot","079","13C","rice","wk0","root",2025-07-25,-7.63598138569796,-26.5932763339624,-44.5120979833919,-20.1369496784991,9,-34.2292577196604,-98.8783053815514,0.346175610388716,0.203653871299622,0.450170518311663,0.768987741993914,0.452392733454454
"pot","080","13C","soy","wk10","root",2025-07-25,-12.034243921451,-36.8895699506611,-42.574267829048,-20.3218602086508,10,-48.9238138721121,-111.819941909811,0.437523155856867,0.181737352582794,0.380739491560339,1.1491404636378,0.477327297565066
"pot","094","13C","soy","wk10","root",2025-07-25,-18.4694329795893,-53.4623622982181,-62.7021562758455,-30.0478265363054,11,-71.9317952778074,-164.681778089958,0.436792680478069,0.18245993506271,0.380747384459221,1.1471981116783,0.479215202809231
"pot","094","13C","soy","wk10","soil",2025-06-30,-0.321400702349933,-3.58043984950018,-37.0870133487078,-12.7229294213012,12,-3.90184055185011,-53.7117833218591,0.0726440328459953,0.236874083011936,0.690481884142069,0.105207731751364,0.343056187934973
"pot","103","13C","rice","wk0","root",2025-07-25,-12.8032549919517,-38.593407179309,-46.6626778075952,-21.4837546066956,13,-51.3966621712607,-119.543094585551,0.429942543728266,0.179715563506018,0.390341892765716,1.10145119367528,0.460405523559531
"pot","103","13C","rice","wk0","root",2025-07-25,-20.1223875101568,-53.181318977644,-40.0635113674034,-19.1101311132406,14,-73.3037064878008,-132.477348968445,0.553330113099268,0.144252064689131,0.302417822211601,1.82968751329776,0.476995911266756
"pot","103","13C","rice","wk0","root",2025-07-25,-15.0232659177527,-44.9170207392744,-44.5459102772948,-21.0036562185996,15,-59.9402866570272,-125.489853152922,0.477650464567714,0.167373342871034,0.354976192561252,1.34558450560116,0.471505825963676
"pot","103","13C","rice","wk0","root",2025-07-25,-16.6661326553985,-47.0760616444095,-44.7877532614584,-21.3102500230962,16,-63.742194299808,-129.840197584363,0.490928044517123,0.164126752882134,0.344945202600743,1.42320589130021,0.475805292100563
"pot","107","12C","rice","wk0","root",2025-07-25,-18.2946490233953,-54.6606985112885,-47.7568831012941,-24.5202780517011,17,-72.9553475346838,-145.232508687679,0.502334829811234,0.168834638148623,0.328830532040142,1.52764047393845,0.51343966480586
